"","F_Helicobacteraceae","F_Lactobacillaceae","F_Lachnospiraceae","F_Deferribacteraceae","F_Prevotellaceae","F_Staphylococcaceae","F_Bacteroidaceae","F_Rikenellaceae","F_Ruminococcaceae","unclassified_O_Bacteroidales","F_Porphyromonadaceae","unclassified_O_Clostridiales"
"HZA.HZF.01.A.1M_DNA",0.3828,0.004,0.23,0.0416,0.1731,0.0221,0.0151,0.0071,0.0319,0.018,0.021,0.0139
"HZA.HZF.01.A.2M_DNA",0.2414,0.0664,0.3352,0.0345,0.0982,0.0301,0.0102,0.0053,0.0455,0.0298,0.018,0.0179
"HZA.HZF.01.A.3M_DNA",0.5918,0.0534,0.116,0.0802,0.0197,0.0065,0.0224,0.0237,0.0176,0.0303,0.0031,0.0167
"HZA.HZF.02.A.1M_DNA",0.4057,0.0756,0.1378,0.0559,0.1387,0.0176,0.0215,0.0119,0.0262,0.0328,0.0252,0.0197
"HZA.HZF.02.A.2M_DNA",0.5788,0.062,0.2187,0,0.003,0.0412,0,0.0121,0.0275,0.0073,0.001,0.0113
"HZA.HZF.02.B.1M_DNA",0.567,0.0662,0.1007,0,0.0139,0.0117,0.0274,0.0066,0.0228,0.0957,0.0113,0.0076
"HZA.HZF.02.B.2M_DNA",0.8452,0.0219,0.069,0,4e-04,0.0064,0.0015,0.0094,0.0122,0.0113,0.0088,0.0078
"HZA.HZF.02.B.3M_DNA",0.8934,0.008,0.0469,0,9e-04,0.0031,0.0048,0.0092,0.0073,0.0102,0.0055,0.0038
"HZA.HZF.02.C.1M_DNA",0.5276,0.078,0.1883,0,0,0.0127,0.0495,0.0111,0.0302,0.0271,0.0248,0.0121
"HZA.HZF.02.C.4M_DNA",0.4714,0.0276,0.1557,0.1151,0.0045,0.0204,0.0375,0.0093,0.025,0.0341,0.0193,0.0205
"HZA.HZF.02.C.7M_DNA",0.0739,0.1596,0.4952,0.0281,0,0.0072,4e-04,0.0352,0.0324,0.0099,0.004,0.0366
"HZA.HZF.02.D.1M_DNA",0.3963,0.0754,0.1494,0.085,0,0.1268,0.001,0.0247,0.028,0.02,0.0107,0.0225
"HZA.HZF.03.A.1M_DNA",0.1687,0.0256,0.3651,0.0239,0.1255,0.1134,0.0135,0.0145,0.0277,0.0241,0.0192,0.0205
"HZA.HZF.03.A.2M_DNA",0.4713,0.0562,0.2136,0.0382,0.0291,0.0788,2e-04,0.0078,0.0114,0.011,0.0115,0.0086
"HZA.HZF.03.A.3M_DNA",0.2218,0.0729,0.2654,0.1268,0.1276,0.0118,0.0462,0.0041,0.017,0.0214,0.0213,0.01
"HZA.HZF.03.B.1M_DNA",0.3633,0.0338,0.2494,0.1124,0.0655,0,0.0358,0.0059,0.0278,0.0209,0.0126,0.0144
"HZA.HZF.03.B.2M_DNA",0.5685,0.0179,0.1791,0.0537,0.009,6e-04,0.0412,0.0024,0.0292,0.0507,0.0039,0.0087
"HZA.HZF.03.B.3M_DNA",0.2634,0.0191,0.3784,0.0325,0.0047,0.0026,0.0428,0.0065,0.0782,0.0536,0.0266,0.0206
"HZA.HZF.04.A.1M_DNA",0.0581,0.0261,0.4226,0.03,0.1318,0.0145,0.0299,0.0176,0.081,0.03,0.0085,0.0612
"HZA.HZF.04.A.2M_DNA",0.2304,0.0626,0.215,0.0185,0.1802,0.0128,0.0302,0.0081,0.0436,0.0568,0.0192,0.0737
"HZA.HZF.04.A.3M_DNA",0.5481,0.0351,0.1408,0,0.0143,0.0515,0.0211,0.0066,0.0471,0.0634,0.0096,0.0076
"HZA.HZF.04.B.1M_DNA",0.4096,0.0531,0.2195,0.0767,0.0862,1e-04,0.0062,0.0213,0.0265,0.0317,0.004,0.0237
"HZA.HZF.05.B.1M_DNA",0.4641,0.0465,0.0893,0.1341,0.0395,0.0702,0.0138,0.0071,0.0235,0.0303,0.0206,0.008
"HZA.HZF.05.B.2M_DNA",0.4208,0.0173,0.1459,0.0912,0.0238,0.1726,0.0033,0.0029,0.0228,0.0119,0.0142,0.0151
"HZA.HZF.05.B.4M_DNA",0.3685,0.0952,0.1592,0.1537,0.0595,0,0.0275,0.0121,0.027,0.0299,0.0122,0.0137
"HZA.HZF.05.C.1M_DNA",0.1665,0.1086,0.4536,0.09,0.0521,0,0.0085,0.0079,0.0162,0.0356,0.0207,0.0147
"HZA.HZF.06.A.1M_DNA",0.2165,0.0232,0.2499,0.2152,0.0229,0.0082,0.0662,0.0236,0.0261,0.0638,0.0265,0.0232
"HZA.HZF.06.A.2M_DNA",0.4651,0.018,0.1547,0.19,0,0.0075,0.0102,0.0195,0.0299,0.0318,0.0165,0.0333
"HZA.HZF.06.A.3M_DNA",0.4288,0.0812,0.2244,0.0855,0.0059,0.0186,0.0475,0.014,0.0137,0.0243,0.0129,0.019
"HZA.HZF.06.B.1M_DNA",0.1176,0.094,0.3386,0.1648,0,0.0329,0.0024,0.0275,0.0339,0.0579,0.021,0.0694
"HZA.HZF.06.B.2M_DNA",0.2667,0.1161,0.3331,0.0319,0,0.0243,0.0187,0.0113,0.0423,0.0338,0.0181,0.0537
"HZA.HZF.06.B.3M_DNA",0.3343,0.0465,0.381,0.0357,0,0.0044,0.0076,0.0202,0.0429,0.0238,0.0184,0.0445
"HZA.HZF.06.B.4M_DNA",0.3953,0.0759,0.1975,0.1882,0.0011,0.0073,0.0208,0.0074,0.0232,0.0244,0.0212,0.0122
"HZA.HZF.06.C.3M_DNA",0.2242,0.0176,0.1265,0.2021,0.0161,0.0015,0.1169,0.0085,0.0472,0.1383,0.0246,0.0209
"HZA.HZF.06.C.4M_DNA",0.0704,0.0355,0.3651,0.0516,0.0131,0,0.0791,0.0144,0.0901,0.0899,0.0141,0.056
"HZB.HZG.01.A.1M_DNA",0.5928,0.0328,0.1048,0.0594,0.0497,0.0126,0.011,0.0058,0.0155,0.0144,0.0168,0.019
"HZB.HZG.01.A.2M_DNA",0.5278,0.0525,0.1672,0.0449,0.0028,0.0065,0.0355,0.0169,0.0295,0.0221,0.0167,0.0232
"HZB.HZG.01.B.1M_DNA",0.413,0.0373,0.2036,0,0.0078,0.0168,0.013,0.016,0.0342,0.0195,0.0268,0.0176
"HZB.HZG.01.C.2M_DNA",0.1195,0.0302,0.3617,0.2855,0.0139,0,0.0227,0.0134,0.0465,0.043,0.0224,0.0136
"HZB.HZG.01.C.3M_DNA",0.2528,0.0493,0.3251,0.1703,0.0043,0.002,0.0356,0.0059,0.0506,0.0195,0.0237,0.0273
