"","Kingdom","Phylum","Class","Order","Family","Genus"
"SV1","K_Bacteria","P_Proteobacteria","C_Epsilonproteobacteria","O_Campylobacterales","F_Helicobacteraceae","G_Helicobacter"
"SV4","K_Bacteria","P_Firmicutes","C_Bacilli","O_Lactobacillales","F_Lactobacillaceae","G_Lactobacillus"
"SV5","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","unclassified_F_Lachnospiraceae"
"SV6","K_Bacteria","P_Deferribacteres","C_Deferribacteres","O_Deferribacterales","F_Deferribacteraceae","G_Mucispirillum"
"SV7","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Prevotellaceae","G_Paraprevotella"
"SV9","K_Bacteria","P_Firmicutes","C_Bacilli","O_Bacillales","F_Staphylococcaceae","G_Staphylococcus"
"SV12","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Eisenbergiella"
"SV19","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Bacteroidaceae","G_Bacteroides"
"SV21","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Rikenellaceae","G_Alistipes"
"SV24","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Clostridium_XlVa"
"SV26","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Ruminococcaceae","G_Oscillibacter"
"SV29","K_Bacteria","P_Proteobacteria","C_Deltaproteobacteria","unclassified_C_Deltaproteobacteria","unclassified_C_Deltaproteobacteria","unclassified_C_Deltaproteobacteria"
"SV39","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Hungatella"
"SV53","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","unclassified_O_Bacteroidales","unclassified_O_Bacteroidales"
"SV70","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Porphyromonadaceae","G_Odoribacter"
"SV79","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Anaerostipes"
"SV82","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Ruminococcaceae","unclassified_F_Ruminococcaceae"
"SV95","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Porphyromonadaceae","unclassified_F_Porphyromonadaceae"
"SV108","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Ruminococcaceae","G_Butyricicoccus"
"SV124","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","unclassified_O_Clostridiales","unclassified_O_Clostridiales"
"SV139","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Roseburia"
"SV184","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Dorea"
"SV196","K_Bacteria","P_Bacteroidetes","unclassified_P_Bacteroidetes","unclassified_P_Bacteroidetes","unclassified_P_Bacteroidetes","unclassified_P_Bacteroidetes"
"SV197","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Acetatifactor"
"SV198","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Ruminococcaceae","G_Intestinimonas"
"SV200","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Marvinbryantia"
"SV235","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","G_Fusicatenibacter"
"SV243","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Prevotellaceae","unclassified_F_Prevotellaceae"
