"","O_Campylobacterales","O_Lactobacillales","O_Clostridiales","O_Deferribacterales","O_Bacteroidales","O_Bacillales"
"HZA.HZF.01.A.1M_DNA",0.3828,0.005,0.2774,0.0416,0.2349,0.0224
"HZA.HZF.01.A.2M_DNA",0.2414,0.0664,0.4024,0.0345,0.1647,0.0303
"HZA.HZF.01.A.3M_DNA",0.5918,0.0534,0.1523,0.0802,0.103,0.0065
"HZA.HZF.02.A.1M_DNA",0.4057,0.0759,0.1874,0.0559,0.2313,0.0178
"HZA.HZF.02.A.2M_DNA",0.5788,0.0648,0.2655,0,0.0234,0.0419
"HZA.HZF.02.B.1M_DNA",0.567,0.0663,0.1368,0,0.1553,0.0121
"HZA.HZF.02.B.2M_DNA",0.8452,0.0219,0.0896,0,0.0314,0.0064
"HZA.HZF.02.B.3M_DNA",0.8934,0.008,0.0599,0,0.0314,0.0031
"HZA.HZF.02.C.1M_DNA",0.5276,0.0781,0.2338,0,0.1164,0.0127
"HZA.HZF.02.C.4M_DNA",0.4714,0.0282,0.2024,0.1151,0.1105,0.0207
"HZA.HZF.02.C.7M_DNA",0.0739,0.1602,0.5668,0.0281,0.0495,0.0072
"HZA.HZF.02.D.1M_DNA",0.3963,0.0771,0.2031,0.085,0.0574,0.1291
"HZA.HZF.03.A.1M_DNA",0.1687,0.0269,0.4164,0.0239,0.1968,0.1143
"HZA.HZF.03.A.2M_DNA",0.4713,0.0581,0.2353,0.0382,0.0622,0.0821
"HZA.HZF.03.A.3M_DNA",0.2218,0.0755,0.2959,0.1268,0.2226,0.012
"HZA.HZF.03.B.1M_DNA",0.3633,0.0352,0.2919,0.1124,0.1425,0
"HZA.HZF.03.B.2M_DNA",0.5685,0.0179,0.2203,0.0537,0.1131,6e-04
"HZA.HZF.03.B.3M_DNA",0.2634,0.0191,0.498,0.0325,0.1384,0.0026
"HZA.HZF.04.A.1M_DNA",0.0581,0.0265,0.567,0.03,0.2178,0.0145
"HZA.HZF.04.A.2M_DNA",0.2304,0.0631,0.3378,0.0185,0.2978,0.0128
"HZA.HZF.04.A.3M_DNA",0.5481,0.0351,0.1973,0,0.1163,0.0527
"HZA.HZF.04.B.1M_DNA",0.4096,0.0532,0.2715,0.0767,0.15,1e-04
"HZA.HZF.05.B.1M_DNA",0.4641,0.0486,0.1245,0.1341,0.1168,0.0706
"HZA.HZF.05.B.2M_DNA",0.4208,0.0188,0.1848,0.0912,0.0627,0.1726
"HZA.HZF.05.B.4M_DNA",0.3685,0.0963,0.2011,0.1537,0.1424,0.0011
"HZA.HZF.05.C.1M_DNA",0.1665,0.1086,0.4864,0.09,0.1268,0
"HZA.HZF.06.A.1M_DNA",0.2165,0.0238,0.3013,0.2152,0.2079,0.0084
"HZA.HZF.06.A.2M_DNA",0.4651,0.018,0.2203,0.19,0.08,0.0075
"HZA.HZF.06.A.3M_DNA",0.4288,0.0812,0.2599,0.0855,0.108,0.0187
"HZA.HZF.06.B.1M_DNA",0.1176,0.0952,0.4433,0.1648,0.1095,0.0335
"HZA.HZF.06.B.2M_DNA",0.2667,0.1174,0.4343,0.0319,0.0831,0.0243
"HZA.HZF.06.B.3M_DNA",0.3343,0.0469,0.4703,0.0357,0.0702,0.0046
"HZA.HZF.06.B.4M_DNA",0.3953,0.0762,0.234,0.1882,0.0766,0.0074
"HZA.HZF.06.C.3M_DNA",0.2242,0.0176,0.1946,0.2021,0.3075,0.0027
"HZA.HZF.06.C.4M_DNA",0.0704,0.0355,0.5146,0.0516,0.2192,0
"HZB.HZG.01.A.1M_DNA",0.5928,0.033,0.1417,0.0594,0.0995,0.0126
"HZB.HZG.01.A.2M_DNA",0.5278,0.0528,0.2203,0.0449,0.095,0.0067
"HZB.HZG.01.B.1M_DNA",0.413,0.0392,0.2567,0,0.0844,0.0169
"HZB.HZG.01.C.2M_DNA",0.1195,0.0302,0.422,0.2855,0.1177,8e-04
"HZB.HZG.01.C.3M_DNA",0.2528,0.0493,0.4129,0.1703,0.089,0.002
"HZB.HZG.02.A.1M_DNA",0.4487,0.0103,0.0887,0.0039,0.0086,0.0549
"HZB.HZG.02.A.2M_DNA",0.5929,0.0169,0.072,0.0279,0.0718,0.0331
"HZB.HZG.02.A.4M_DNA",0.3537,0.0313,0.1574,0.0092,0.1766,0.0265
"HZB.HZG.02.B.1M_DNA",0.4845,0.0412,0.2571,0.1207,0.0854,3e-04
"HZB.HZG.02.B.2M_DNA",0.7496,0.0351,0.14,0,0.0489,0
"HZB.HZG.02.B.3M_DNA",0.3733,0.0286,0.4322,0,0.1182,0
"HZB.HZG.03.A.1M_DNA",0.3514,0.0631,0.2725,0.1043,0.0355,0.0064
"HZB.HZG.03.B.1M_DNA",0.4041,0.0196,0.4064,0.0343,0.0853,0.0248
"HZB.HZG.03.B.2M_DNA",0.3947,0.0177,0.3846,0.1143,0.0581,0.0087
"HZB.HZG.03.B.3M_DNA",0.2504,0.046,0.3547,0.1734,0.1469,0.0031
"HZB.HZG.03.B.4M_DNA",0.4171,0.0454,0.4669,2e-04,0.0519,0.0017
"HZB.HZG.04.A.1M_DNA",0.6212,0.0111,0.184,0.1302,0.0228,0.0022
"HZB.HZG.04.B.1M_DNA",0.3521,0.1109,0.3964,0.0062,0.121,0.0021
"HZB.HZG.04.B.2M_DNA",0.564,0.0293,0.2846,0.078,0.0342,0.0019
"HZB.HZG.04.B.4M_DNA",0.6539,0.0171,0.2192,0.0251,0.0659,0.0081
"HZB.HZG.05.A.1M_DNA",0.5884,0.0116,0.1407,0.1789,0.0587,0.0019
"HZB.HZG.05.A.2M_DNA",0.4988,0.0115,0.2753,0.0578,0.0741,0.0086
"HZB.HZG.05.A.3M_DNA",0.6422,0.0129,0.1484,0.0104,0.0464,0.017
"HZB.HZG.05.A.4M_DNA",0.5469,0.0373,0.2151,0.045,0.0597,0.0094
"HZB.HZG.05.B.1M_DNA",0.5689,0.0197,0.1887,0.027,0.0212,0.0243
"HZB.HZG.05.B.2M_DNA",0.3023,0.0125,0.2594,0.0397,0.0594,0.0575
"HZB.HZG.05.B.3M_DNA",0.4295,0.0188,0.0461,0.004,0.0072,0.0739
"HZB.HZG.05.B.4M_DNA",0.4042,0.0233,0.3296,0.1173,0.0922,0.0022
"HZB.HZG.05.B.5M_DNA",0.7056,0.0722,0.1484,0.0095,0.0323,0.0019
"HZB.HZG.05.B.6M_DNA",0.3148,0.2129,0.329,0.0126,0.0754,0.004
"HZB.HZG.05.B.7M_DNA",0.367,0.064,0.4653,0.0311,0.0489,0.0017
"HZB.HZG.06.A.1M_DNA",0.1712,0.0244,0.2235,0.0967,0.0218,0.1016
"HZB.HZG.06.A.2M_DNA",0.392,0.0288,0.2132,0.0855,0.0372,0.0503
"HZB.HZG.06.B.1M_DNA",0.2175,0.1306,0.3032,0.0481,0.2277,0.0059
"HZB.HZG.06.B.2M_DNA",0.2248,0.0098,0.507,0.1536,0.0764,0.0057
