"","SV1","SV2","SV3","SV4","SV5","SV6","SV9","SV10","SV12","SV13","SV14","SV17","SV19","SV20","SV21","SV22","SV23","SV24","SV25","SV26","SV29","SV31","SV32","SV33","SV35","SV36","SV38","SV39","SV40","SV45","SV47","SV49","SV50","SV52","SV58","SV60","SV63","SV64","SV68","SV77","SV79","SV82","SV85","SV88","SV91","SV95","SV97","SV98","SV99","SV100","SV101","SV102","SV108","SV109","SV111","SV115","SV122","SV142","SV145","SV155","SV169","SV170","SV180","SV197","SV216","SV229","SV248"
"HZA.HZF.01.A.1M_DNA",0.3825,3e-04,0,2e-04,0.0089,0.0178,0.0182,0.0141,0.0057,0.0097,0,0,0.0012,0,0,8e-04,0,7e-04,1e-04,0.001,0.0048,0,0.0084,9e-04,0.0036,0.0031,0.007,0,4e-04,0,0.0059,0,0.0069,0.001,1e-04,0.0018,0,0,0,6e-04,3e-04,0.0074,0,0.0036,0.0024,0,0,0,0.002,0,0,0.006,0.0042,0.0026,0,0,0,0,0,0,8e-04,0,0,0,0,0,0
"HZA.HZF.01.A.2M_DNA",0.2408,2e-04,4e-04,0.0313,0,0.0168,0.0252,0.0089,0,0.0088,6e-04,0,0.001,0.0078,0,1e-04,0,0.0016,0,0.0017,0.0098,0.0053,0.0012,0.0022,0.0065,5e-04,0.0012,0,0,0,0.0016,0,0.0022,0.0016,0,0,1e-04,0,4e-04,0,2e-04,0.003,0,0,0.0013,0,0.0021,0,0.0017,0,0,0,0.0028,9e-04,0,0.0011,0,0,0,0,0.0018,0,0,0,0,0,0
"HZA.HZF.01.A.3M_DNA",0.5917,1e-04,0,0.037,0,0.0372,0.0053,0.0236,0.0031,0.0194,0,0,0.0033,0.0074,0,0,0,0.0014,0,0,0.0055,0.0051,0.0081,0,0.0094,0,0.0111,0.0024,0.0011,0,0.0093,0,0.0047,0,0.0033,0,7e-04,0,0.0017,0,0,4e-04,0,0.001,0.0015,0,0,0,5e-04,0.0022,0.0016,0.0077,0.0014,0.0035,0,0,0,0,0,0,0.0022,0,0,3e-04,0,0,0
"HZA.HZF.02.A.1M_DNA",0.3504,0.0246,0.0307,0.0423,2e-04,0.0294,0.0129,0.0144,0.0022,0.0121,0.0043,0,0.003,0.0083,0.0014,0.0067,0,5e-04,0.0016,0.004,0.0051,0.0095,0.0038,0.0017,0.0015,0,0.0056,0.0024,6e-04,0,0.002,0.0043,0.0023,0,0.0023,0.001,1e-04,0.0013,0.0018,7e-04,0.0023,0.001,8e-04,0,0.0019,0,0,6e-04,8e-04,0.0016,0.0066,0.0024,0.0017,0.0016,0.0011,4e-04,9e-04,0,0,0,0,0,0,0,0,0,0
"HZA.HZF.02.A.2M_DNA",0.5787,1e-04,0,0.0346,0,0,0.0316,0,0.0097,0,0,0.0423,0,0.0092,0.0031,0,0,5e-04,0.0024,6e-04,0.0015,0.0054,0.0078,0.0034,0,9e-04,0.0073,5e-04,0.0048,0,0.0042,0,0.0126,0.001,0.0024,0.0034,0.0015,0,0.003,0,0.0016,0.004,1e-04,4e-04,0.0015,0,0,0,7e-04,0,0,0,0.0043,0,0.0015,0,0.0017,0,0,0.0019,0,0.0015,0.0014,0,0,0,0
"HZA.HZF.02.B.1M_DNA",0.5665,5e-04,0,0.0372,0.0071,0,0.0099,0,0.0011,0,0,0,1e-04,0.0085,6e-04,0.02,0,7e-04,0,9e-04,0,0.0067,0,0,0.0016,0,0,0.002,0,0,0,0,0,3e-04,6e-04,0,5e-04,0,9e-04,0,0,0,4e-04,5e-04,0,0.0022,0,0,0,0,1e-04,0,8e-04,0.0037,0.0012,0,7e-04,0,0,0,0,0,0,0.001,0,0,0
"HZA.HZF.02.B.2M_DNA",0.0788,0.7664,0,0.0108,0,0,0.0052,0,0,0,0.001,0,1e-04,0.0015,0.0038,0,0,3e-04,0,0.0013,0,0.0023,0.0055,0,0.0012,0,0.005,8e-04,0.0039,0,0.0035,0,0.0031,0.004,0.0037,0,2e-04,0,9e-04,0,3e-04,4e-04,3e-04,0,0.0028,0.0037,0,0,3e-04,0,1e-04,0.0035,0.001,0.0013,0.0011,0.0013,9e-04,0,0.0015,6e-04,0,1e-04,0,0,0,0,0.001
"HZA.HZF.02.B.3M_DNA",0.3856,0.5075,0,0.0051,0,0,0.0025,0,0,0,0.0011,0,1e-04,0.0011,0.0056,0.0016,0.0012,0.0018,2e-04,0.0034,0,9e-04,0.0017,8e-04,0.0015,0,0.0038,6e-04,0,0.0014,0.0024,0,0.002,0,0.0013,0,1e-04,0,0,0,0,0,0.0013,0.0012,0,0.0023,0,0,0,0.0012,0,0.0013,5e-04,4e-04,4e-04,0,0,0,0,0,0,0,0,0,0,0,7e-04
"HZA.HZF.02.C.1M_DNA",0.5275,0,0,0.0267,0.0031,0,0.0111,0,0,0,0.0048,0.0025,0.0017,0.0104,0.0015,0.0416,0.0025,0.0074,0,0,0.0045,0.0043,0,0,0.0041,0,0,0.0043,0,0.0122,0,0,0,0,0.0025,0,4e-04,0.0015,0.003,0,0,0,0.0038,0,0,0.01,0,0.001,0,0.0014,0,0,0,0.0038,0.0027,0.0015,0.0022,0,8e-04,0,0.0074,0,0,0,0,0,0
"HZA.HZF.02.C.4M_DNA",0.4714,0,0,0.022,0,0.0468,0.0173,0.0359,0,0.0324,0,0,0,0.0025,0.0045,0,0,0,0,0,0.0263,0.0014,0,0.0112,0.0016,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0.0108,0,0,1e-04,0.0047,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0
