"","P_Proteobacteria","P_Firmicutes","P_Deferribacteres","P_Bacteroidetes"
"HZA.HZF.01.A.1M_DNA",0.3945,0.3109,0.0416,0.2456
"HZA.HZF.01.A.2M_DNA",0.2616,0.5089,0.0345,0.1846
"HZA.HZF.01.A.3M_DNA",0.6003,0.2133,0.0802,0.1031
"HZA.HZF.02.A.1M_DNA",0.4152,0.2851,0.0559,0.2398
"HZA.HZF.02.A.2M_DNA",0.5869,0.376,0,0.0234
"HZA.HZF.02.B.1M_DNA",0.573,0.218,0,0.1763
"HZA.HZF.02.B.2M_DNA",0.846,0.1194,0,0.0315
"HZA.HZF.02.B.3M_DNA",0.894,0.0712,0,0.0338
"HZA.HZF.02.C.1M_DNA",0.5341,0.3273,0,0.1165
"HZA.HZF.02.C.4M_DNA",0.506,0.2529,0.1151,0.1159
"HZA.HZF.02.C.7M_DNA",0.0815,0.7371,0.0281,0.0495
"HZA.HZF.02.D.1M_DNA",0.4249,0.4138,0.085,0.0574
"HZA.HZF.03.A.1M_DNA",0.1969,0.5592,0.0239,0.2058
"HZA.HZF.03.A.2M_DNA",0.5028,0.3782,0.0382,0.0711
"HZA.HZF.03.A.3M_DNA",0.2341,0.3992,0.1268,0.2327
"HZA.HZF.03.B.1M_DNA",0.3978,0.3367,0.1124,0.1462
"HZA.HZF.03.B.2M_DNA",0.5843,0.2421,0.0537,0.1196
"HZA.HZF.03.B.3M_DNA",0.2843,0.523,0.0325,0.1566
"HZA.HZF.04.A.1M_DNA",0.0969,0.6431,0.03,0.2227
"HZA.HZF.04.A.2M_DNA",0.2464,0.4175,0.0185,0.3141
"HZA.HZF.04.A.3M_DNA",0.5668,0.2885,0,0.1208
"HZA.HZF.04.B.1M_DNA",0.4157,0.3322,0.0767,0.1533
"HZA.HZF.05.B.1M_DNA",0.484,0.2469,0.1341,0.1233
"HZA.HZF.05.B.2M_DNA",0.4462,0.378,0.0912,0.0683
"HZA.HZF.05.B.4M_DNA",0.385,0.3035,0.1537,0.15
"HZA.HZF.05.C.1M_DNA",0.1737,0.6019,0.09,0.1295
"HZA.HZF.06.A.1M_DNA",0.2389,0.3356,0.2152,0.2079
"HZA.HZF.06.A.2M_DNA",0.475,0.2514,0.19,0.08
"HZA.HZF.06.A.3M_DNA",0.4404,0.3604,0.0855,0.1086
"HZA.HZF.06.B.1M_DNA",0.1303,0.5767,0.1648,0.1098
"HZA.HZF.06.B.2M_DNA",0.2736,0.588,0.0319,0.0947
"HZA.HZF.06.B.3M_DNA",0.3646,0.5264,0.0357,0.0702
"HZA.HZF.06.B.4M_DNA",0.3987,0.319,0.1882,0.091
"HZA.HZF.06.C.3M_DNA",0.2447,0.2175,0.2021,0.3304
"HZA.HZF.06.C.4M_DNA",0.1054,0.5649,0.0516,0.258
"HZB.HZG.01.A.1M_DNA",0.6397,0.1892,0.0594,0.105
"HZB.HZG.01.A.2M_DNA",0.5733,0.285,0.0449,0.095
"HZB.HZG.01.B.1M_DNA",0.5882,0.3209,0,0.0855
"HZB.HZG.01.C.2M_DNA",0.1261,0.4672,0.2855,0.118
"HZB.HZG.01.C.3M_DNA",0.2609,0.4724,0.1703,0.089
"HZB.HZG.02.A.1M_DNA",0.8218,0.1558,0.0039,0.0101
