otu;genus;family;order;class;phylum
SV1;G_Helicobacter;F_Helicobacteraceae;O_Campylobacterales;C_Epsilonproteobacteria;P_Proteobacteria
SV10;G_Lactobacillus;F_Lactobacillaceae;O_Lactobacillales;C_Bacilli;P_Firmicutes
SV100;unclassified_F_Lachnospiraceae;F_Lachnospiraceae;O_Clostridiales;C_Clostridia;P_Deferribacteres
SV101;G_Mucispirillum;F_Deferribacteraceae;O_Deferribacterales;C_Deferribacteres;P_Bacteroidetes
SV102;G_Paraprevotella;F_Prevotellaceae;O_Bacteroidales;C_Bacteroidia;
SV108;G_Eisenbergiella;F_Bacteroidaceae;;;
SV109;G_Bacteroides;F_Rikenellaceae;;;
SV111;G_Alistipes;F_Ruminococcaceae;;;
SV115;G_Clostridium_XlVa;F_Porphyromonadaceae;;;
SV12;G_Oscillibacter;;;;
SV122;unclassified_C_Deltaproteobacteria;;;;
SV126;G_Hungatella;;;;
SV13;unclassified_O_Bacteroidales;;;;
SV130;G_Odoribacter;;;;
SV133;G_Anaerostipes;;;;
SV135;unclassified_F_Ruminococcaceae;;;;
SV139;unclassified_F_Porphyromonadaceae;;;;
SV14;G_Butyricicoccus;;;;
SV142;unclassified_O_Clostridiales;;;;
SV145;G_Roseburia;;;;
SV151;G_Dorea;;;;
SV155;unclassified_P_Bacteroidetes;;;;
SV158;G_Acetatifactor;;;;
SV166;G_Intestinimonas;;;;
SV169;G_Marvinbryantia;;;;
SV17;G_Fusicatenibacter;;;;
SV170;unclassified_F_Prevotellaceae;;;;
SV173;;;;;
SV180;;;;;
SV181;;;;;
SV184;;;;;
SV19;;;;;
SV197;;;;;
SV2;;;;;
SV20;;;;;
SV21;;;;;
SV212;;;;;
SV216;;;;;
SV22;;;;;
SV229;;;;;
SV23;;;;;
SV234;;;;;
SV238;;;;;
SV24;;;;;
SV246;;;;;
SV248;;;;;
SV25;;;;;
SV26;;;;;
SV264;;;;;
SV281;;;;;
SV29;;;;;
SV293;;;;;
SV3;;;;;
SV31;;;;;
SV32;;;;;
SV33;;;;;
SV35;;;;;
SV36;;;;;
SV370;;;;;
SV376;;;;;
SV38;;;;;
SV39;;;;;
SV396;;;;;
SV4;;;;;
SV40;;;;;
SV45;;;;;
SV47;;;;;
SV49;;;;;
SV5;;;;;
SV50;;;;;
SV52;;;;;
SV54;;;;;
SV58;;;;;
SV6;;;;;
SV60;;;;;
SV61;;;;;
SV63;;;;;
SV64;;;;;
SV68;;;;;
SV746;;;;;
SV77;;;;;
SV79;;;;;
SV82;;;;;
SV85;;;;;
SV88;;;;;
SV91;;;;;
SV95;;;;;
SV97;;;;;
SV98;;;;;
SV99;;;;;
