otu;genus;family;order;class;phylum
SV1;G_Helicobacter;F_Helicobacteraceae;O_Campylobacterales;C_Epsilonproteobacteria;P_Proteobacteria
SV2;G_Lactobacillus;F_Lactobacillaceae;O_Lactobacillales;C_Bacilli;P_Firmicutes
SV3;unclassified_F_Lachnospiraceae;F_Lachnospiraceae;O_Clostridiales;C_Clostridia;P_Deferribacteres
SV4;G_Mucispirillum;F_Deferribacteraceae;O_Deferribacterales;C_Deferribacteres;P_Bacteroidetes
SV5;G_Paraprevotella;F_Prevotellaceae;O_Bacteroidales;C_Bacteroidia;
SV6;G_Staphylococcus;F_Staphylococcaceae;O_Bacillales;;
SV7;G_Eisenbergiella;F_Bacteroidaceae;;;
SV9;G_Bacteroides;F_Rikenellaceae;;;
SV10;G_Alistipes;F_Ruminococcaceae;;;
SV12;G_Clostridium_XlVa;F_Porphyromonadaceae;;;
SV13;G_Oscillibacter;;;;
SV14;unclassified_C_Deltaproteobacteria;;;;
SV17;G_Hungatella;;;;
SV19;unclassified_O_Bacteroidales;;;;
SV20;G_Odoribacter;;;;
SV21;G_Anaerostipes;;;;
SV22;unclassified_F_Ruminococcaceae;;;;
SV23;unclassified_F_Porphyromonadaceae;;;;
SV24;G_Butyricicoccus;;;;
SV25;unclassified_O_Clostridiales;;;;
SV26;G_Roseburia;;;;
SV29;G_Dorea;;;;
SV31;unclassified_P_Bacteroidetes;;;;
SV32;G_Acetatifactor;;;;
SV33;G_Intestinimonas;;;;
SV35;G_Marvinbryantia;;;;
SV36;G_Fusicatenibacter;;;;
SV38;unclassified_F_Prevotellaceae;;;;
SV39;;;;;
SV40;;;;;
SV45;;;;;
SV47;;;;;
SV49;;;;;
SV50;;;;;
SV52;;;;;
SV54;;;;;
SV58;;;;;
SV60;;;;;
SV61;;;;;
SV63;;;;;
SV64;;;;;
SV68;;;;;
SV70;;;;;
SV77;;;;;
SV79;;;;;
SV82;;;;;
SV85;;;;;
SV88;;;;;
SV91;;;;;
SV95;;;;;
SV97;;;;;
SV98;;;;;
SV99;;;;;
SV100;;;;;
SV101;;;;;
SV102;;;;;
SV108;;;;;
SV109;;;;;
SV111;;;;;
SV113;;;;;
SV115;;;;;
SV119;;;;;
SV122;;;;;
SV124;;;;;
SV126;;;;;
SV130;;;;;
SV133;;;;;
SV135;;;;;
SV139;;;;;
SV142;;;;;
SV145;;;;;
SV151;;;;;
SV155;;;;;
SV156;;;;;
SV158;;;;;
SV166;;;;;
SV169;;;;;
SV170;;;;;
SV173;;;;;
SV180;;;;;
SV181;;;;;
SV184;;;;;
SV197;;;;;
SV212;;;;;
SV216;;;;;
SV229;;;;;
SV234;;;;;
SV238;;;;;
SV243;;;;;
SV246;;;;;
SV248;;;;;
SV264;;;;;
SV281;;;;;
SV293;;;;;
SV370;;;;;
SV376;;;;;
SV396;;;;;
SV746;;;;;
